X,Y,OBJECTID,NCESSCH,SURVYEAR,STABR,LEAID,ST_LEAID,LEA_NAME,SCH_NAME,LSTREET1,LSTREET2,LCITY,LSTATE,LZIP,LZIP4,PHONE,CHARTER_TEXT,MAGNET_TEXT,VIRTUAL,GSLO,GSHI,SCHOOL_LEVEL,TITLEI,STITLEI,STATUS,SCHOOL_TYPE_TEXT,SY_STATUS_TEXT,ULOCALE,NMCNTY,TOTFRL,FRELCH,REDLCH,PK,KG,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G13,UG,AE,TOTMENROL,TOTFENROL,TOTAL,MEMBER,FTE,STUTERATIO,AMALM,AMALF,AM,ASALM,ASALF,AS,BLALM,BLALF,BL,HPALM,HPALF,HP,HIALM,HIALF,HI,TRALM,TRALF,TR,WHALM,WHALF,WH,LATCOD,LONCOD
-117.0518,46.3402,93815,530028000000.0,2020-2021,WA,5300280,WA-02420,Asotin-Anatone School District,Asotin Jr Sr High,215 SECOND STREET,,ASOTIN,WA,99402,    ,(509)243-4151,No,No,Not Virtual,6,12,High,2-No,N,1,Regular school,Currently operational ,23-Suburb: Small,Asotin County,93.0,70.0,23.0,,,,,,,,44.0,57.0,38.0,37.0,49.0,52.0,50.0,,,,,,327.0,327.0,19.56999969,16.71,,2.0,2.0,1.0,2.0,3.0,1.0,,1.0,1.0,,1.0,7.0,11.0,18.0,15.0,8.0,23.0,134.0,145.0,279.0,46.3402,-117.0518
-122.23482,47.308226,93817,530030000000.0,2020-2021,WA,5300300,WA-17408,Auburn School District,West Auburn Senior High School,401 W MAIN ST,,AUBURN,WA,98001,5275,(253)931-4990,No,No,Not Virtual,9,12,High,1-Yes,1-Yes,1,Alternative Education School,Currently operational ,13-City: Small,King County,119.0,101.0,18.0,,,,,,,,,,,10.0,22.0,57.0,81.0,,,,,,170.0,170.0,18.0,9.44,4.0,6.0,10.0,1.0,1.0,2.0,10.0,4.0,14.0,7.0,3.0,10.0,17.0,36.0,53.0,10.0,5.0,15.0,36.0,30.0,66.0,47.308226,-122.234815
-122.22016,47.309284,93818,530030000000.0,2020-2021,WA,5300300,WA-17408,Auburn School District,Auburn Senior High School,711 E MAIN ST,,AUBURN,WA,98002,5662,(253)931-4880,No,No,Not Virtual,9,12,High,1-Yes,1-Yes,1,Regular school,Currently operational ,13-City: Small,King County,1036.0,802.0,234.0,,,,,,,,,,,438.0,437.0,425.0,430.0,,,,,,1730.0,1730.0,94.0,18.4,15.0,18.0,33.0,84.0,69.0,153.0,88.0,74.0,162.0,62.0,49.0,111.0,314.0,287.0,601.0,73.0,86.0,159.0,261.0,250.0,511.0,47.309284,-122.220159
-122.2222,47.2678,93834,530030000000.0,2020-2021,WA,5300300,WA-17408,Auburn School District,Auburn Riverside High School,501 ORAVETZ RD SE,,AUBURN,WA,98092,8621,(253)804-5154,No,No,Not Virtual,9,12,High,1-Yes,2-No,1,Regular school,Currently operational ,41-Rural: Fringe,King County,698.0,536.0,162.0,,,,,,,,,,,468.0,491.0,464.0,394.0,,,,,,1817.0,1817.0,79.5,22.86,1.0,3.0,4.0,113.0,112.0,225.0,52.0,49.0,101.0,38.0,42.0,80.0,292.0,234.0,526.0,78.0,92.0,170.0,363.0,348.0,711.0,47.2678,-122.2222
-122.1718,47.341998,93836,530030000000.0,2020-2021,WA,5300300,WA-17408,Auburn School District,Auburn Mountainview High School,28900 124th AVE SE,,Auburn,WA,98092,3101,(253)804-4539,No,No,Not Virtual,9,12,High,1-Yes,1-Yes,1,Regular school,Currently operational ,13-City: Small,King County,811.0,619.0,192.0,,,,,,,,,,,432.0,421.0,400.0,415.0,,,,,,1668.0,1668.0,74.48999786,22.39,3.0,3.0,6.0,116.0,127.0,243.0,109.0,85.0,194.0,19.0,13.0,32.0,173.0,193.0,366.0,56.0,59.0,115.0,341.0,371.0,712.0,47.341998,-122.171795
-122.16694,47.705063,93841,530031000000.0,2020-2021,WA,5300313,WA-17937,Lake Washington Institute of Technology,Lake Washington Technical Academy,11605 132nd Ave NE,,Kirkland,WA,98034,8506,(425)739-8100,No,No,Not Virtual,11,12,High,2-No,N,1,Regular school,Currently operational ,21-Suburb: Large,King County,,,,,,,,,,,,,,,1.0,37.0,247.0,,,,,,285.0,285.0,,-1.0,,,,6.0,4.0,10.0,5.0,2.0,7.0,,1.0,1.0,30.0,23.0,53.0,13.0,9.0,22.0,123.0,68.0,191.0,47.705063,-122.166943
-122.16694,47.705063,93842,530031000000.0,2020-2021,WA,5300313,WA-17937,Lake Washington Institute of Technology,Open Doors at LWIT,11605 132nd Ave NE,,Kirkland,WA,98034,    ,(425)739-8274,No,No,Not Virtual,11,12,High,2-No,N,1,Alternative Education School,Currently operational ,21-Suburb: Large,King County,,,,,,,,,,,,,,,,0.0,440.0,,,,,,440.0,440.0,,-1.0,1.0,3.0,4.0,26.0,18.0,44.0,19.0,20.0,39.0,2.0,1.0,3.0,44.0,28.0,72.0,10.0,7.0,17.0,116.0,125.0,241.0,47.705063,-122.166943
-122.523,47.6381,93848,530033000000.0,2020-2021,WA,5300330,WA-18303,Bainbridge Island School District,Bainbridge High School,9330 NE High School RD,,Bainbridge Island,WA,98110,3695,(206)842-2634,No,No,Supplemental Virtual,9,12,High,1-Yes,2-No,1,Regular school,Currently operational ,22-Suburb: Mid-size,Kitsap County,101.0,78.0,23.0,,,,,,,,,,,294.0,315.0,348.0,351.0,,,,,,1308.0,1308.0,64.04000092,20.42,4.0,3.0,7.0,17.0,33.0,50.0,7.0,2.0,9.0,2.0,1.0,3.0,50.0,57.0,107.0,54.0,48.0,102.0,542.0,487.0,1029.0,47.6381,-122.523
-122.5219,47.6363,93856,530033000000.0,2020-2021,WA,5300330,WA-18303,Bainbridge Island School District,Eagle Harbor High School,9530 NE High School Rd,,Bainbridge Island,WA,98110,    ,(206)780-1387,No,No,Supplemental Virtual,9,12,High,1-Yes,2-No,1,Alternative Education School,Currently operational ,22-Suburb: Mid-size,Kitsap County,18.0,9.0,9.0,,,,,,,,,,3.0,24.0,21.0,25.0,34.0,,,,,,107.0,107.0,4.860000134,22.02,,,,1.0,1.0,2.0,,1.0,1.0,1.0,,1.0,5.0,7.0,12.0,7.0,4.0,11.0,38.0,42.0,80.0,47.6363,-122.5219
-122.42912,47.24103,93858,530033000000.0,2020-2021,WA,5300333,WA-27905,Summit Public School: Olympus,Summit Public School: Olympus,409 Puyallup Ave,,Tacoma,WA,98421,    ,(253)444-9781,Yes,No,Not Virtual,9,12,High,1-Yes,1-Yes,1,Regular school,Currently operational ,12-City: Mid-size,Pierce County,108.0,88.0,20.0,,,,,,,,,,,61.0,61.0,41.0,31.0,,,,,,194.0,194.0,12.0,16.17,3.0,1.0,4.0,3.0,1.0,4.0,19.0,23.0,42.0,5.0,4.0,9.0,23.0,29.0,52.0,13.0,18.0,31.0,29.0,22.0,51.0,47.24103,-122.429121
-122.3184,47.59792,93859,530033000000.0,2020-2021,WA,5300334,WA-17902,Summit Public School: Sierra,Summit Public School: Sierra,1025 S King St,,Seattle,WA,98104,    ,(206)453-2520,Yes,No,Not Virtual,9,12,High,1-Yes,2-No,1,Regular school,Currently operational ,11-City: Large,King County,117.0,106.0,11.0,,,,,,,,,,,86.0,95.0,92.0,92.0,,,,,,365.0,365.0,23.0,15.87,,,,6.0,8.0,14.0,53.0,71.0,124.0,1.0,,1.0,31.0,25.0,56.0,27.0,23.0,50.0,73.0,47.0,120.0,47.59792,-122.318401
-117.39831,47.657663,93862,530034000000.0,2020-2021,WA,5300339,WA-32907,PRIDE Prep Charter School District,PRIDE Prep School,811 E. Sprague,Suite A,Spokane,WA,99202,    ,(509)389-4848,Yes,Yes,Not Virtual,6,12,High,1-Yes,2-No,1,Regular school,Currently operational ,12-City: Mid-size,Spokane County,414.0,314.0,100.0,,,,,,,,89.0,118.0,138.0,112.0,94.0,89.0,78.0,,,,,,718.0,718.0,40.25,17.84,17.0,8.0,25.0,7.0,4.0,11.0,20.0,18.0,38.0,2.0,1.0,3.0,46.0,39.0,85.0,25.0,34.0,59.0,267.0,221.0,488.0,47.657663,-117.398305
-122.37797,47.51709,93865,530034000000.0,2020-2021,WA,5300343,WA-17905,Summit Public School: Atlas,Summit Public School: Atlas,9601 35th Avenue SW,,Seattle,WA,98126,    ,(206)307-7645,Yes,No,Not Virtual,6,12,High,1-Yes,1-Yes,1,Regular school,Currently operational ,11-City: Large,King County,196.0,179.0,17.0,,,,,,,,70.0,85.0,99.0,88.0,43.0,38.0,33.0,,,,,,456.0,456.0,27.0,16.89,2.0,1.0,3.0,9.0,2.0,11.0,82.0,50.0,132.0,1.0,1.0,2.0,40.0,30.0,70.0,38.0,23.0,61.0,101.0,74.0,175.0,47.51709,-122.377971
-122.54,45.7819,93872,530038000000.0,2020-2021,WA,5300380,WA-06119,Battle Ground School District,Battle Ground High School,300 W MAIN ST,,BATTLE GROUND,WA,98604,    ,(360)885-6500,No,No,Supplemental Virtual,9,12,High,2-No,N,1,Regular school,Currently operational ,21-Suburb: Large,Clark County,459.0,332.0,127.0,,,,,,,,,,,429.0,410.0,369.0,378.0,,,,,,1586.0,1586.0,86.18000031,18.4,6.0,3.0,9.0,12.0,10.0,22.0,3.0,6.0,9.0,4.0,1.0,5.0,72.0,86.0,158.0,39.0,25.0,64.0,706.0,613.0,1319.0,45.7819,-122.54
-122.55932,45.730302,93878,530038000000.0,2020-2021,WA,5300380,WA-06119,Battle Ground School District,Summit View High School,11104 NE 149th St,,Brush Prairie,WA,98606,9565,(360)885-5331,No,No,Not Virtual,7,12,High,1-Yes,1-Yes,1,Alternative Education School,Currently operational ,41-Rural: Fringe,Clark County,150.0,114.0,36.0,,,,,,,,,0.0,0.0,16.0,50.0,80.0,247.0,,,,,,393.0,393.0,12.81000042,30.68,0.0,2.0,2.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,5.0,17.0,22.0,3.0,12.0,15.0,165.0,186.0,351.0,45.730302,-122.559316
-122.55545,45.704844,93879,530038000000.0,2020-2021,WA,5300380,WA-06119,Battle Ground School District,Prairie High School,11311 NE 119th St,,BRUSH PRAIRIE,WA,98662,    ,(360)885-5000,No,No,Supplemental Virtual,9,12,High,1-Yes,2-No,1,Regular school,Currently operational ,21-Suburb: Large,Clark County,441.0,313.0,128.0,,,,,,,,,,,402.0,369.0,360.0,374.0,,,,,,1505.0,1505.0,75.94999695,19.82,7.0,9.0,16.0,37.0,43.0,80.0,11.0,14.0,25.0,6.0,5.0,11.0,119.0,121.0,240.0,45.0,45.0,90.0,487.0,555.0,1042.0,45.704844,-122.555445
-122.19799,47.603893,93893,530039000000.0,2020-2021,WA,5300390,WA-17405,Bellevue School District,Bellevue High School,10416 Wolverine Way,,Bellevue,WA,98004,6600,(425)456-7000,No,No,Not Virtual,9,12,High,2-No,N,1,Regular school,Currently operational ,12-City: Mid-size,King County,132.0,107.0,25.0,,,,,,,,,,,362.0,371.0,437.0,356.0,,,,,,1526.0,1526.0,70.37999725,21.68,,,,242.0,273.0,515.0,16.0,11.0,27.0,2.0,1.0,3.0,78.0,55.0,133.0,86.0,84.0,170.0,346.0,331.0,677.0,47.603893,-122.197994
-122.1233,47.6294,93901,530039000000.0,2020-2021,WA,5300390,WA-17405,Bellevue School District,Interlake Senior High School,16245 NE 24th Street,,Bellevue,WA,98008,2492,(425)456-7200,No,No,Not Virtual,9,12,High,2-No,N,1,Regular school,Currently operational ,12-City: Mid-size,King County,306.0,236.0,70.0,,,,,,,,,,,389.0,382.0,444.0,439.0,,,,,,1654.0,1654.0,85.51000214,19.34,1.0,2.0,3.0,396.0,361.0,757.0,32.0,31.0,63.0,2.0,2.0,4.0,123.0,115.0,238.0,71.0,63.0,134.0,240.0,215.0,455.0,47.6294,-122.1233
-122.172,47.5675,93905,530039000000.0,2020-2021,WA,5300390,WA-17405,Bellevue School District,Newport Senior High School,4333 Factoria Boulevard SE,,Bellevue,WA,98006,1999,(425)456-7400,No,No,Not Virtual,9,12,High,2-No,N,1,Regular school,Currently operational ,12-City: Mid-size,King County,149.0,107.0,42.0,,,,,,,,,,,437.0,428.0,450.0,451.0,,,,,,1766.0,1766.0,85.86000061,20.57,1.0,,1.0,481.0,454.0,935.0,16.0,15.0,31.0,3.0,1.0,4.0,75.0,67.0,142.0,86.0,64.0,150.0,283.0,215.0,498.0,47.5675,-122.172
-122.1523,47.608,93908,530039000000.0,2020-2021,WA,5300390,WA-17405,Bellevue School District,Sammamish Senior High,100  140th Avenue SE,,Bellevue,WA,98005,3721,(425)456-7600,No,No,Not Virtual,9,12,High,2-No,N,1,Regular school,Currently operational ,12-City: Mid-size,King County,390.0,306.0,84.0,,,,,,,,,,,279.0,346.0,320.0,301.0,,,,,,1246.0,1246.0,63.06000137,19.76,3.0,1.0,4.0,138.0,117.0,255.0,30.0,31.0,61.0,3.0,3.0,6.0,147.0,134.0,281.0,53.0,59.0,112.0,278.0,245.0,523.0,47.608,-122.1523
-122.1703,47.6041,93917,530039000000.0,2020-2021,WA,5300390,WA-17405,Bellevue School District,International School,445 128th Ave SE,,Bellevue,WA,98005,    ,(425)456-6500,No,No,Not Virtual,6,12,High,2-No,N,1,Alternative Education School,Currently operational ,12-City: Mid-size,King County,43.0,24.0,19.0,,,,,,,,91.0,91.0,88.0,90.0,88.0,68.0,74.0,,,,,,590.0,590.0,29.09000015,20.28,1.0,,1.0,145.0,155.0,300.0,2.0,8.0,10.0,,,,15.0,18.0,33.0,28.0,23.0,51.0,102.0,93.0,195.0,47.6041,-122.1703
-122.1418,47.5921,93918,530039000000.0,2020-2021,WA,5300390,WA-17405,Bellevue School District,Bellevue Big Picture School,14844 SE 22nd Street,,Bellevue,WA,98007,    ,(425)456-7800,No,No,Not Virtual,6,12,High,2-No,N,1,Alternative Education School,Currently operational ,12-City: Mid-size,King County,51.0,42.0,9.0,,,,,,,,77.0,77.0,81.0,66.0,26.0,27.0,30.0,,,,,,384.0,384.0,27.26000023,14.09,,1.0,1.0,51.0,52.0,103.0,8.0,6.0,14.0,1.0,1.0,2.0,16.0,11.0,27.0,22.0,24.0,46.0,111.0,79.0,190.0,47.5921,-122.1418
-122.4741,48.7569,93924,530042000000.0,2020-2021,WA,5300420,WA-37501,Bellingham School District,Bellingham High School,2020 Cornwall Ave,,Bellingham,WA,98225,3648,(360)676-6575,No,No,Supplemental Virtual,9,12,High,2-No,N,1,Regular school,Currently operational ,13-City: Small,Whatcom County,354.0,289.0,65.0,,,,,,,,,,,305.0,315.0,283.0,291.0,,,,,,1194.0,1194.0,56.41999817,21.16,4.0,5.0,9.0,21.0,21.0,42.0,5.0,8.0,13.0,,1.0,1.0,115.0,77.0,192.0,39.0,47.0,86.0,435.0,406.0,841.0,48.7569,-122.4741
-122.4816,48.7272,93934,530042000000.0,2020-2021,WA,5300420,WA-37501,Bellingham School District,Sehome High School,2700 Bill McDonald Pkwy,,Bellingham,WA,98225,5909,(360)676-6481,No,No,Supplemental Virtual,9,12,High,2-No,N,1,Regular school,Currently operational ,13-City: Small,Whatcom County,251.0,210.0,41.0,,,,,,,,,,1.0,315.0,286.0,273.0,308.0,,,,,,1183.0,1183.0,55.08000183,21.48,4.0,5.0,9.0,42.0,39.0,81.0,14.0,11.0,25.0,3.0,2.0,5.0,64.0,58.0,122.0,42.0,43.0,85.0,459.0,395.0,854.0,48.7272,-122.4816
-122.47108,48.757245,93939,530042000000.0,2020-2021,WA,5300420,WA-37501,Bellingham School District,Options High School,2015 Franklin St,,Bellingham,WA,98225,5909,(360)647-6871,No,No,Supplemental Virtual,9,12,High,1-Yes,1-Yes,1,Alternative Education School,Currently operational ,13-City: Small,Whatcom County,103.0,90.0,13.0,,,,,,,,,,,13.0,47.0,45.0,80.0,,,,,,185.0,185.0,16.12000084,11.48,,8.0,8.0,1.0,2.0,3.0,1.0,,1.0,,,,12.0,16.0,28.0,7.0,8.0,15.0,65.0,62.0,127.0,48.757245,-122.471079
-122.4228,48.7842,93941,530042000000.0,2020-2021,WA,5300420,WA-37501,Bellingham School District,Squalicum High School,3773 E McLeod Rd,,Bellingham,WA,98226,7728,(360)676-6471,No,No,Supplemental Virtual,9,12,High,1-Yes,2-No,1,Regular school,Currently operational ,13-City: Small,Whatcom County,444.0,362.0,82.0,,,,,,,,,,,326.0,318.0,286.0,361.0,,,,,,1291.0,1291.0,62.40999985,20.69,5.0,8.0,13.0,64.0,72.0,136.0,9.0,9.0,18.0,2.0,,2.0,128.0,130.0,258.0,52.0,58.0,110.0,420.0,328.0,748.0,48.7842,-122.4228
-122.3781,47.0545,93949,530048000000.0,2020-2021,WA,5300480,WA-27403,Bethel School District,Bethel High School,22215 38th Avenue East,,Spanaway,WA,98387,6828,(253)800-7000,No,No,Supplemental Virtual,9,12,High,1-Yes,1-Yes,1,Regular school,Currently operational ,21-Suburb: Large,Pierce County,772.0,602.0,170.0,,,,,,,,,,,452.0,456.0,396.0,375.0,,,,,,1679.0,1679.0,75.79000092,22.15,6.0,10.0,16.0,27.0,33.0,60.0,57.0,48.0,105.0,44.0,36.0,80.0,172.0,147.0,319.0,112.0,98.0,210.0,482.0,407.0,889.0,47.0545,-122.3781
-122.4124,47.1056,93963,530048000000.0,2020-2021,WA,5300480,WA-27403,Bethel School District,Spanaway Lake High School,1305 168th Street East,,Spanaway,WA,98387,5906,(253)800-5600,No,No,Supplemental Virtual,9,12,High,1-Yes,1-Yes,1,Regular school,Currently operational ,21-Suburb: Large,Pierce County,858.0,659.0,199.0,,,,,,,,,,,444.0,411.0,344.0,341.0,,,,,,1540.0,1540.0,71.63999939,21.5,11.0,8.0,19.0,53.0,45.0,98.0,114.0,94.0,208.0,53.0,54.0,107.0,179.0,161.0,340.0,112.0,127.0,239.0,282.0,247.0,529.0,47.1056,-122.4124
-122.4297,47.0924,93965,530048000000.0,2020-2021,WA,5300480,WA-27403,Bethel School District,Challenger High School,18020 B Street East,,Spanaway,WA,98387,8321,(253)800-6800,No,No,Supplemental Virtual,9,12,High,1-Yes,1-Yes,1,Alternative Education School,Currently operational ,21-Suburb: Large,Pierce County,144.0,127.0,17.0,,,,,,,,,,,12.0,33.0,72.0,137.0,,,,,,254.0,254.0,15.0,16.93,2.0,4.0,6.0,1.0,1.0,2.0,7.0,9.0,16.0,3.0,5.0,8.0,20.0,26.0,46.0,11.0,22.0,33.0,75.0,67.0,142.0,47.0924,-122.4297
-122.28668,47.05741,93971,530048000000.0,2020-2021,WA,5300480,WA-27403,Bethel School District,Graham Kapowsin High School,22100 108th Ave E,,Graham,WA,98338,    ,(253)800-6100,No,No,Supplemental Virtual,9,12,High,1-Yes,2-No,1,Regular school,Currently operational ,41-Rural: Fringe,Pierce County,699.0,556.0,143.0,,,,,,,,,,,522.0,460.0,451.0,417.0,,,,,,1850.0,1850.0,79.47000122,23.28,10.0,5.0,15.0,29.0,43.0,72.0,57.0,46.0,103.0,43.0,22.0,65.0,167.0,157.0,324.0,140.0,120.0,260.0,529.0,480.0,1009.0,47.05741,-122.286679
-122.35668,47.109551,93975,530048000000.0,2020-2021,WA,5300480,WA-27403,Bethel School District,Pierce County Skills Center,16117 Canyon Rd E,,Puyallup,WA,98375,    ,(253)800-5950,No,No,Not Virtual,8,12,High,2-No,N,1,Career and Technical School,Currently operational ,21-Suburb: Large,Pierce County,,,,,,,,,,,,,0.0,0.0,0.0,91.0,117.0,,,,,,208.0,208.0,14.0,14.86,1.0,0.0,1.0,2.0,2.0,4.0,5.0,3.0,8.0,0.0,1.0,1.0,27.0,20.0,47.0,9.0,7.0,16.0,84.0,47.0,131.0,47.109551,-122.356678
-122.4354,47.109051,93978,530048000000.0,2020-2021,WA,5300480,WA-27403,Bethel School District,Acceleration Academy,16218 Pacific Ave,,Spanaway,WA,98387,    ,(253)267-1045,No,No,Not Virtual,9,12,High,1-Yes,1-Yes,1,Alternative Education School,Currently operational ,21-Suburb: Large,Pierce County,65.0,63.0,2.0,,,,,,,,,,,0.0,1.0,12.0,153.0,,,,,,166.0,166.0,,-1.0,2.0,2.0,4.0,4.0,2.0,6.0,10.0,7.0,17.0,4.0,5.0,9.0,15.0,18.0,33.0,11.0,9.0,20.0,32.0,45.0,77.0,47.109051,-122.435396
-122.737,48.9932,93984,530057000000.0,2020-2021,WA,5300570,WA-37503,Blaine School District,Blaine High School,1055 H STREET,,BLAINE,WA,98230,    ,(360)332-6045,No,No,Supplemental Virtual,9,12,High,1-Yes,1-Yes,1,Regular school,Currently operational ,31-Town: Fringe,Whatcom County,289.0,203.0,86.0,,,,,,,,,,,163.0,176.0,157.0,141.0,,,,,,637.0,637.0,35.70000076,17.84,7.0,4.0,11.0,11.0,17.0,28.0,7.0,6.0,13.0,5.0,1.0,6.0,57.0,38.0,95.0,27.0,20.0,47.0,227.0,210.0,437.0,48.9932,-122.737
